Unnamed: 0,Id,Uid,Name,Empty Slots,Free Bikes,Last Updated,Renting Bikes,Returning Bikes,Latitude,Longitude,Timestamp,Rating,Review Count
0.0,0,0,Neverland Tea Salon,0,0,0.0,0,0,49.264037,-123.173523,0,0.0,0
0.0,0,0,Nuba,0,0,0.0,0,0,49.264022,-123.174575,0,0.0,0
0.0,0,0,Osteria Savio Volpe,0,0,0.0,0,0,49.257425,-123.09097,0,4.0,-78
0.0,0,0,Pallet Coffee Roasters,0,0,0.0,0,0,49.28179,-123.063911,0,0.0,0
0.0,0,0,Parallel 49 Brewing Co,0,0,0.0,0,0,49.283798,-123.064405,0,0.0,0
0.0,0,0,Parthenon Supermarket,0,0,0.0,0,0,49.264037,-123.173523,0,0.0,0
0.0,0,0,Passion8 Dessert Cafe,0,0,0.0,0,0,49.25837,-123.114814,0,4.0,-44
0.0,0,0,Pepino's,0,0,0.0,0,0,49.278808,-123.070636,0,4.0,-105
0.0,0,0,Potluck Hawker Eatery,0,0,0.0,0,0,49.254508,-123.114891,0,3.5,91
0.0,0,0,Pulpfiction Books,0,0,0.0,0,0,49.263494,-123.100651,0,0.0,0
0.0,0,0,Pure Bread,0,0,0.0,0,0,49.266631,-123.104568,0,0.0,0
0.0,0,0,Queen Elizabeth Botanical Gardens,0,0,0.0,0,0,49.242081,-123.113751,0,0.0,0
0.0,0,0,Queen Elizabeth Park Fountains,0,0,0.0,0,0,49.241478,-123.113781,0,0.0,0
0.0,0,0,Queen Elizabeth Pitch & Putt,0,0,0.0,0,0,49.241058,-123.123231,0,0.0,0
0.0,0,0,R & B Brewing Inc,0,0,0.0,0,0,49.26727,-123.103568,0,0.0,0
0.0,0,0,Rackets & Runners,0,0,0.0,0,0,49.251133,-123.127172,0,0.0,0
0.0,0,0,Rain or Shine,0,0,0.0,0,0,49.255054,-123.114856,0,0.0,0
0.0,0,0,Rain or Shine Ice Cream,0,0,0.0,0,0,49.267929,-123.1488,0,4.5,-15
0.0,0,0,Raisu,0,0,0.0,0,0,49.268036,-123.158378,0,4.0,-56
0.0,0,0,Ramen Danbo - Robson,0,0,0.0,0,0,49.287499,-123.12898,0,0.0,0
0.0,0,0,Revolver,0,0,0.0,0,0,49.283261,-123.109473,0,0.0,0
0.0,0,0,Rio Theatre,0,0,0.0,0,0,49.262048,-123.070353,0,0.0,0
0.0,0,0,Saku,0,0,0.0,0,0,49.29141,-123.134912,0,4.5,-128
0.0,0,0,Sal y Limon,0,0,0.0,0,0,49.256878,-123.08922,0,0.0,0
0.0,0,0,Seaside Seawall,0,0,0.0,0,0,49.272387,-123.104085,0,0.0,0
0.0,0,0,Sephora,0,0,0.0,0,0,49.283972,-123.11724,0,0.0,0
0.0,0,0,Shaughnessy Restaurant,0,0,0.0,0,0,49.238654,-123.129837,0,3.0,112
0.0,0,0,Siegel's Bagels,0,0,0.0,0,0,49.272737,-123.147184,0,0.0,0
0.0,0,0,Small Victory,0,0,0.0,0,0,49.258291,-123.138568,0,0.0,0
0.0,0,0,Small Victory Bakery,0,0,0.0,0,0,49.276391,-123.121299,0,0.0,0
0.0,0,0,St. Augustine's,0,0,0.0,0,0,49.263783,-123.069526,0,0.0,0
0.0,0,0,Stanley Park,0,0,0.0,0,0,49.301704,-123.1417,0,5.0,70
0.0,0,0,Stanley Park English Bay Seawall,0,0,0.0,0,0,49.290133,-123.146728,0,0.0,0
0.0,0,0,Stanley Park Harbourfront Seawall,0,0,0.0,0,0,49.29722,-123.130866,0,0.0,0
0.0,0,0,Strange Fellows Brewing,0,0,0.0,0,0,49.272444,-123.077805,0,0.0,0
0.0,0,0,Tacofino,0,0,0.0,0,0,49.276488,-123.119685,0,3.5,-59
0.0,0,0,Takumi Japanese Restaurant,0,0,0.0,0,0,49.263617,-123.206889,0,3.5,31
0.0,0,0,Tavola,0,0,0.0,0,0,49.291843,-123.135761,0,4.5,113
0.0,0,0,The Burrow,0,0,0.0,0,0,49.259684,-123.06999,0,4.0,-4
0.0,0,0,The Cascade Room,0,0,0.0,0,0,49.261744,-123.100746,0,4.0,-23
0.0,0,0,The Downlow Chicken Shack,0,0,0.0,0,0,49.276378,-123.069781,0,0.0,0
0.0,0,0,The Gluten Free Epicurean,0,0,0.0,0,0,49.257337,-123.090395,0,4.0,-124
0.0,0,0,The Gourmet Warehouse,0,0,0.0,0,0,49.28102,-123.076179,0,0.0,0
0.0,0,0,The Inukshuk,0,0,0.0,0,0,49.284303,-123.143552,0,0.0,0
0.0,0,0,The Juice Truck,0,0,0.0,0,0,49.266384,-123.105358,0,0.0,0
0.0,0,0,The Mackenzie Room,0,0,0.0,0,0,49.283272,-123.095032,0,0.0,0
0.0,0,0,Thomas Haas Patisserie,0,0,0.0,0,0,49.264143,-123.163234,0,0.0,0
0.0,0,0,Toshi Sushi,0,0,0.0,0,0,49.256698,-123.101858,0,0.0,0
0.0,0,0,Totem Poles in Stanley Park,0,0,0.0,0,0,49.29916,-123.121052,0,0.0,0
0.0,0,0,Truffles Fine Foods,0,0,0.0,0,0,49.239427,-123.12893,0,0.0,0
0.0,0,0,VanDusen Botanical Garden,0,0,0.0,0,0,49.238594,-123.128586,0,4.5,-60
0.0,0,0,Vancouver Aquarium,0,0,0.0,0,0,49.30068270565011,-123.13085496425629,0,4.5,61
0.0,0,0,Vancouver Public Library,0,0,0.0,0,0,49.279513,-123.115381,0,0.0,0
0.0,0,0,Via Tevere Pizzeria,0,0,0.0,0,0,49.273873,-123.065512,0,4.0,81
0.0,0,0,Vij's,0,0,0.0,0,0,49.257598,-123.114829,0,0.0,0
0.0,0,0,Welk's Mart,0,0,0.0,0,0,49.253536,-123.101183,0,0.0,0
0.0,0,0,West Point Grey Academy,0,0,0.0,0,0,49.266549,-123.20017,0,0.0,0
0.0,0,0,49th Parallel Coffee,0,0,0.0,0,0,49.2680088064106,-123.154781059525,0,4.0,-44
0.0,0,0,AJ's Brooklyn Pizza Joint,0,0,0.0,0,0,49.2629437687572,-123.098307028413,0,4.5,-117
0.0,0,0,Absinthe Bistro,0,0,0.0,0,0,49.27607,-123.0692457,0,4.5,-115
0.0,0,0,Afghan Horsemen Restaurant,0,0,0.0,0,0,49.2694847203493,-123.138735294342,0,4.0,-7
0.0,0,0,Afuri Ramen + Dumpling,0,0,0.0,0,0,49.25994,-123.10151,0,4.0,23
0.0,0,0,Aleph Eatery,0,0,0.0,0,0,49.2849288,-123.065795,0,4.5,69
0.0,0,0,Alouette Bistro,0,0,0.0,0,0,49.2853,-123.11829,0,4.5,57
0.0,0,0,Ancora Waterfront Dining and Patio,0,0,0.0,0,0,49.27385345615888,-123.13257765112428,0,4.0,-33
0.0,0,0,Anna's Cake House,0,0,0.0,0,0,49.26217,-123.09073,0,4.0,48
0.0,0,0,Arike Restaurant,0,0,0.0,0,0,49.2868046,-123.1408561,0,5.0,26
0.0,0,0,Axum Restaurant,0,0,0.0,0,0,49.2814936637038,-123.07779582314,0,4.5,70
0.0,0,0,B House,0,0,0.0,0,0,49.264473795087,-123.069533295929,0,4.5,25
